13f940bacb2a4ad697252ebdcb805735,FTUE,Level 1,1
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 2,2
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 3,3
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 4,4
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 5,5
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 6,6
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 7,7
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 8,8
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 9,9
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 10,10
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 11,11
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 12,12
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 13,13
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 14,14
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 15,15
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 16,16
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 17,17
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 18,18
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 19,19
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 20,20
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 21,21
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 22,22
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 23,23
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 24,24
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 25,25
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 26,26
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 27,27
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 28,28
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 29,29
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 30,30
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 31,31
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 32,32
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 33,33
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 34,34
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 35,35
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 36,36
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 37,37
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 38,38
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 39,39
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 40,40
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 41,41
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 42,42
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 43,43
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 44,44
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 45,45
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 46,46
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 47,47
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 48,48
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 49,49
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 50,50
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 51,51
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 52,52
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 53,53
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 54,54
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 55,55
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 56,56
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 57,57
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 58,58
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 59,59
13f940bacb2a4ad697252ebdcb805735,FTUE,Level 60,60
